Street_name;Building_number;Phone_number;Cellphone_number_1;Cellphone_number_2;Name
Луганська;8;0322951421;0634662966;0677277958;"гуртівня ""Секонд-хенд"""
Князя Ярослава Осмомисла;1;;0973967896;0636813967;комісійний магазин
Сихівська;2;;0973967896;0636813967;комісійний магазин
Драгана М.;2;0322401762;;;"магазин ""Планета секонд-хенд"""
Антоненка-Давидовича Б.;10;0322455978;;;"магазин ""Планета секонд-хенд"""
Котлярська;6;0322401762;;;"магазин ""Планета секонд-хенд"""
Виговського І.;49;0322401762;;;"магазин ""Планета секонд-хенд"""
Мазепи І., гетьм. ;15а/1;0322401762;;;"магазин ""Планета секонд-хенд"""
Чорновола В. просп.;7;0322401762;;;"магазин ""Планета секонд-хенд"""
Горської А.;5-а;0322401762;;;"магазин ""Планета секонд-хенд"""
Липнева;6;0322401762;;;"магазин ""Планета секонд-хенд"""
Зубрівська;21;0322401762;;;"магазин ""Планета секонд-хенд"""
Володимира Великого;34;0322401762;;;"магазин ""Планета секонд-хенд"""
Широка;31;0322401762;;;"магазин ""Планета секонд-хенд"""
Чорновола В. просп.;99;0322401762;;;"магазин ""Планета секонд-хенд"""
Мазепи І., гетьм. ;11-в;0322401762;;;"магазин ""Планета секонд-хенд"""
Петлюри С.;2;0322401762;;;"магазин ""Планета секонд-хенд"""
Наукова;47;0322456835;;;"магазин ""Планета секонд-хенд"""
Сихівська;12а;0322456835;;;"магазин ""Планета секонд-хенд"""
Хмельницького Б.;271;0322456835;;;"магазин ""Планета секонд-хенд"""
Миколайчука І.;8;0322456835;;;"магазин ""Планета секонд-хенд"""
Липи Ю.;20;0322456835;;;"магазин ""Планета секонд-хенд"""
Любінська;100;0322456835;;;"магазин ""Планета секонд-хенд"""
Городоцька;119;0322987812;;;"магазин ""Євро-Стоки"""
Коперника М.;21;;;;"стоковий магазин ""Sealine"""
Бузкова;2;;0679809828;;"магазин ""Grand-Sock"""
Городоцька;90;;0679437347;;"магазин ""Секон-хенд"""
Залізнична;4;0322336149;;;"магазин ""Євроодяг"""
Залізнична;40;;0973487391;;"магазин ""Одяг з Європи"""
Калнишевського П.;16/1;0322312872;0963334390;;"магазин ""Анти Криза"""
Патона Є.;2;;;;"магазин ""Євро Секонд Хенд"""
Повітряна;43;;0937182166;;"магазин ""Секон-хенд"""
Ряшівська;15;;;;"магазин ""Секонд-хенд ""Хороший одяг"""
Петлюри С.;2;;0933399559;;комісійний магазин
Петлюри С.;2а;;0974786330;;"магазин ""Світ ""Секонд-Хенд"""
Широка;81;;0966682889;;"магазин ""Секон-хенд"""
Франка І.;78;;0673131412;;"магазин ""Європейський одяг"""
Франка І.;8;0322357067;;;"магазин ""Одяг з Америки"""
Руставелі Ш.;42;;0676724449;;"магазин ""Євро-Секонд - хенд"""
Стрийська;3;0322756868;;;"магазин ""Товари з Європи"""
Городоцька;42;0322332041;;;"магазин ""Дешевий одяг"""
Шпитальна;21;;;;"магазин ""Одяг з Європи"""
Франка І.;37;;0933399558;;"магазин ""Секонд-хенд ""для Вас"""
Франка І.;11;0322751040;;;"магазин ""Секонд-хенд"""
Винниченка В.;2;0322767813;;;"магазин ""Євро Секонд-хенд"""
Левицького К.;52;;;;"магазин ""Євросток"""
Круп'ярська;1;;;;"магазин ""Секонд-хенд"""
Личаківська;61;;0984169041;;"магазин ""Секонд-хенд"""
Студенська;8;0322756891;;;"магазин ""Взуття і одяг з Європи"""
Філатова В., акад.;4;0322230714;;;"магазин ""Люкс секонд-хенд"""
Чехова А.;6;;0677036208;;"магазин ""Євро-бум ""Секонд-хенд"""
Довженка О.;4а;;;;"магазин ""Секонд-хенд"""
Драгана М.;9;;0969487426;;"магазин ""Парк Євроодягу"""
Зелена;147;0322456189;;;"магазин ""товари з Європи"""
Кавалерідзе І.;2;;0679437347;;"магазин ""Секонд-хенд ""Бомба"""
Луганська;6;;;;"магазин ""Екстра сток"""
Морозна;21;;;;"магазин ""Секонд-хенд"""
Сихівська;4;;0673698653;;"магазин ""Сток-манія"""
Сихівська;16;;0675869759;;"магазин ""Єврошок"""
Сихівська;28;;;;"магазин ""Секонд-хенд"""
Стрийська;57;0322457373;;;"магазин ""Секонд-хенд"""
Червоної Калини просп.;35;;;;"магазин ""Євро Секонд-хенд"""
Червоної Калини просп.;59;;;;"магазин ""Секонд-хенд"""
Червоної Калини просп.;85а;;;;"магазин ""Секонд Bomond"""
Червоної Калини просп.;105;;;;"магазин ""Євро Секонд-хенд"""
Гайдамацька;1;;0674761112;;"магазин ""Секонд-хенд"""
Грінченка;16;;0934000101;;"магазин ""Секонд-хенд"""
Грінченка;6;;0676760556;;"магазин ""Секонд-хенд"""
Джерельна;21;;0639318918;;"магазин ""Секонд-хенд"""
Замарстинівська;36;;;;"магазин ""Єврошара"""
Мазепи І., гетьм. ;26;;0962416903;;"магазин ""Євро Секонд Хенд"""
Чорновола В. просп.;43а;;0676743966;;"магазин ""Секонд-хенд"""
Володимира Великого;34;;;;"магазин ""Секонд-хенд"""
Володимира Великого;105а;;0983899052;;"магазин ""Секонд-хенд"""
Горської А.;5а;;;;"магазин ""Секонд-хенд"""
Конотопська;4;;0974786330;;"магазин ""Стокові ціни"""
Симоненка В.;3;;0974786330;;"магазин ""Світ ссеконд-хенд"""
Сахарова;48;;;;"магазин ""Секонд-хенд"""
Сахарова;58;;;;"магазин ""Секонд-хенд"""
Сар'яна М.;6;;;;"магазин ""Дешевий одяг"""
